"NIH Spending Categorization","Project Abstract","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","Post Award Action Type","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost(Sub Projects)","Funding IC(s)","Direct Cost IC","Indirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","Project SummaryNeurofibromatosis type 1 is one of the most common monogenic developmental disorders affecting ~1 in3500 individuals worldwide. Some form of cognitive or neuropsychiatric dysfunction is present inapproximately 50-80% of individuals with NF1 and these are considered to be major causes of lifetimemorbidity. The neurofibromin protein (Nf1) directly inhibits Ras signaling but also affects several othersignaling cascades (possibly indirectly). The complexity of the signaling cascades implicated inneurofibromatosis 1 combined with the lack of drugs to target Nf1 directly highlights the pressing need fornew approaches to target NF1 phenotypes. Uncovering genetic modifiers of neurofibromatosis 1-relatedcellular dysfunction would provide potential new targets for treating this disorder.This project will focus on hyperactivity and repetitive behaviors in Drosophila loss of function Nf1 mutants. Thelarge effect size of these behavioral deficits will enable their use it as a readout to unravel both the in vivomolecular and circuit functions of the neurofibromin protein in a powerful genetic model organism. SpecificAims will investigate the circuit mechanisms underlying hyperactivity in NF1 deficiency dissect the molecularmechanisms of Nf1-regulated hyperactivity and discover the roles of novel genes underlying the developmentof NF1 phenotypes."," ","Mechanisms of Nf1 Pathophysiology Underlying Hyperactivity","Project NarrativeNeurofibromatosis type 1 is one of the most common developmental disorders which often affectsneuropsychiatric function in afflicted individuals. This project will examine how Nf1 mutations affect behaviorand neuronal circuit function in an animal model of neurofibromatosis type 1. Results will provide informationabout potential new pathways to target for treatment of the disorder.","NINDS","10721723","5/18/2023","PA-21-268","7R01NS097237-07","7","R01","NS","097237","07","","MORRIS, JILL A","10/11/2022","7/31/2023","Neurodifferentiation, Plasticity, Regeneration and Rhythmicity Study Section[NDPR]"," ","9297549","TOMCHIK, SETH M","Not Applicable","01","NEUROSCIENCES","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","522421320","UNITED STATES","N","4/12/2023","7/31/2023"," ","853","Non-SBIR/STTR","2021","104121"," ","NINDS","66959","37162"," ","104121",
"No NIH Category available"," "," ","Healthier Workforce Center of the Midwest","n/a","NIOSH","10664988","7/11/2022","PAR-20-297","6U19OH008868-16M003","6","U19","OH","008868","16","M003","LIOCE, MARIA ","9/1/2021","8/31/2026","ZOH1-DVN(12)"," ","8700758","ROHLMAN, DIANE S","Not Applicable","01","PUBLIC HEALTH & PREV MEDICINE","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF PUBLIC HEALTH","522421320","UNITED STATES","N","9/1/2021","8/31/2022"," ","262","Non-SBIR/STTR","2021","28628"," ","NIOSH"," "," "," ","28628",
"No NIH Category available"," "," ","Implementation of a Medication Care Plan to Reduce Unintentional Injury among Rural Older Adults","n/a","NCIPC","10663101","7/7/2022","RFA-CE-18-004","6U01CE002961-04M002","6","U01","CE","002961","04","M002","","9/30/2018","9/29/2022","ZCE1-MLW(04)"," ","7955814","CASTEEL, CARRI ","KENNELTY, KOREY A","01","PUBLIC HEALTH & PREV MEDICINE","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF PUBLIC HEALTH","522421320","UNITED STATES","N","9/30/2021","9/29/2022"," ","136","Non-SBIR/STTR","2021","101745"," ","NCIPC"," "," "," ","101745",
"No NIH Category available"," "," ","Informing Immunization Strategies Through Rapid Repeated Computer-Assisted Self-Interviewing Instruments and Online Panels of Physicians and the Public","n/a","NCIRD","10658962","6/30/2022","RFA-IP-20-005","6U01IP001144-02M001","6","U01","IP","001144","02","M001","","9/1/2020","8/31/2025","ZIP1-GCA(45)"," ","12569116","SCHERER, AARON MICHAEL","GIDENGIL, COURTNEY ;PARKER, ANDREW ","01","INTERNAL MEDICINE/MEDICINE","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","522421320","UNITED STATES","N","9/1/2021","8/31/2022"," ","185","Non-SBIR/STTR","2021","99999"," ","NCCDPHP"," "," "," ","99999",
"Antimicrobial Resistance; Biodefense; Emerging Infectious Diseases; Infectious Diseases","This contract provides in vitro testing of potential anti-bacterial and anti-fungal agents efficacy to combat the effects of toxins produced by bacteria and fungi maintenance of bacterial fungal and toxin stocks and the development of related assays.","Advanced Development;Anti-Bacterial Agents;Antifungal Agents;Antimicrobial Resistance;Bacteria;Biological Assay;Collection;Contracts;Development;Gram-Negative Bacteria;Maintenance;Mycotoxins;Toxin;combat;fungus;in vitro testing;therapeutic development","Task A18: Antibacterial MICs of a Gram-Negative Targeted Compound Collection","n/a","NIAID","10490562"," "," ","75N93019D00011-0-759302100001-1"," "," "," "," "," "," ","","9/16/2021","9/15/2022"," "," ","78353259","DUNCAN, LEONARD ","Not Applicable","01","Unavailable","010586910","GAJDDSFFPD89","010586910","GAJDDSFFPD89","US","41.743069","-91.592165","10082629","JMI LABORATORIES","NORTH LIBERTY","IA","Domestic For-Profits","523179256","UNITED STATES","N"," "," "," "," ","R and D Contracts","2021","424000"," ","NIAID"," "," "," ","424000",
"Clinical Research; Clinical Trials and Supportive Activities; Health Disparities; Health Services; Rural Health; Social Determinants of Health; Women's Health","The Institute for Clinical and Translational Science (ICTS) at the University of Iowa (UI) was established by theBoard of Regents to realize three objectives  first to lead the development of translational science at the UI;second to advance translational science as a distinct academic discipline; and third to disseminate capacitiesin translational science across the State of Iowa. This mandate enabled us to tackle large problems affectingtranslational science that required institutional solutions such as transforming regulatory processes for humansubjects research developing an informatics infrastructure for integrating electronic medical record and otherhealth care data establishing bi-directional relationships with community organizations and revitalizing thepipeline of well trained clinical and translational researchers.Iowa is a rural state which brings special health care needs and challenges. We have used these ruralconsiderations as a catalyst for driving our approach to clinical and translational research pushing our teams todevelop strategies to engage rural populations of all ages and backgrounds and to create new approaches thatovercome the geographic barriers in a rural state. We are capitalizing on our established community practicenetworks of family physicians clinics school nurses and pharmacists. We utilize e Health/ e Learningplatforms in novel ways and will test the efficacy of these new methods of engagement. As we move researchBeyond Our Borders we have created methods to capture real-time real-life data from the home and tocorrelate this environmentally specific comprehensive data to human performance. The ICTS is engaging withother CTSA hubs and national CTR systems to empirically test different approaches and to develop theevidence base of proven strategies for accelerating translation that can be more broadly disseminated. Thoughdistance and rurality drive our approaches the strategies that we develop are simply new and potentially betterways to generate broad representation and improved participation by patients healthcare teams andacademicians. Through our local state and national partnerships UI and the ICTS are poised to move clinicaland translational discovery rapidly into healthcare practice in a variety of clinical settings.","Academic Medical Centers;Address;Affect;Age;Area;Automobile Driving;Clinic;Clinical;Clinical Research;Clinical Sciences;Clinical and Translational Science Awards;Collection;Communities;Community Health;Community Practice;Computerized Medical Record;Data;Data Collection;Development;Discipline;E-learning;Family Physicians;Genetic;Geography;Goals;Health;Health Personnel;Health system;Healthcare;Home;Hospitals;Human;Human Subject Research;Infrastructure;Institutes;Institution;Intervention;Iowa;Lead;Learning;Life;Link;Longevity;Measurable;Medical Care Team;Methods;Mission;Modeling;Participant;Patient Participation;Patients;Performance;Pharmacists;Population;Process;Research;Research Personnel;Rural;Rural Community;Rural Population;School Nursing;Science;Scientist;System;Technology;Testing;Time;Training;Translational Research;Translations;Universities;base;catalyst;clinical practice;college;community engaged research;community engagement;community organizations;community partnership;data warehouse;demographics;efficacy testing;evidence base;health care delivery;improved;informatics infrastructure;innovation;innovative technologies;member;novel;novel strategies;novel therapeutics;patient population;precision medicine;programs;rural patients;rurality;social;tertiary care;tool;translational scientist;workforce needs","The University of Iowa Clinical and Translational Science Award","Project NarrativeThe mission of the University of Iowa Institute for Clinical and Translational Science (ICTS) is to acceleratetranslational science through programs to develop the translational workforce promote the engagement ofcommunity members and other stakeholders to promote research integration across the lifespan and tocatalyze innovative clinical and translational research. These efforts will lead to the development of noveltherapies and healthcare delivery strategies the integration of translational research and clinical practice andultimately to measurable improvements in the health of Iowa and the nation.","NCATS","10488387","9/20/2021","PAR-15-304","3UL1TR002537-04S1","3","UL1","TR","002537","04","S1","CHANG, SOJU ","3/30/2018","2/28/2023","ZTR1-CI-8(01)"," ","9417388","WINOKUR, PATRICIA ","HANSEN, MARLAN R","01","INTERNAL MEDICINE/MEDICINE","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","522421320","UNITED STATES","N","9/20/2021","2/28/2022"," ","350","Research Centers","2021","216300"," ","OD","140000","76300"," ","216300",
"Biotechnology; Cancer; Cancer Genomics; Clinical Research; Digestive Diseases; Genetics; Health Disparities; Human Genome; Minority Health; Neurosciences; Orphan Drug; Pancreatic Cancer; Rare Diseases","The incidence of Neuroendocrine Tumors (NETs) has increased five-fold over the last three decades and many patients do not develop symptoms until the tumors have metastasized. Although patients with these tumors may have prolonged survival despite advanced stage further understanding of the molecular biologic basis of NETs holds the promise for improved diagnosis imaging and therapy. We hypothesize that analyzing the gene expression profiles of these tumors and their exomes will allow us to identify important genes that will facilitate clinical advances for patients with these tumors. This contribution will be significant because it will allow us to determine the tumor site of origin in patients presenting with liver metastases and unknown primaries which will lead to more directed surgical exploration and resection; and knowledge of cell surface receptors or other genes significantly over-expressed in NETs relative to normal tissues will facilitate the development of new targets for detection imaging and medical management. Novel targets for therapy will also be suggested by the identification of frequently mutated or deleted genes in these tumors or the germline of patients with familial NETs.","Biological;Cell Surface Receptors;Characteristics;Clinical;DNA;Data;Detection;Development;Diagnosis;Diagnostic Imaging;Distant Metastasis;Excision;Family;Future;Gastrointestinal Neoplasms;Gene Expression;Gene Expression Profile;Gene Expression Profiling;Gene Mutation;Genes;Genetic;Genomic approach;Germ-Line Mutation;Goals;Hormonal;Human;Image;Incidence;Knowledge;Ligands;Malignant - descriptor;Malignant Neoplasms;Medical;Metastatic Neoplasm to the Liver;Modality;Molecular;Mutate;Mutation;Neoplasm Metastasis;Neuroendocrine Tumors;Normal tissue morphology;Operative Surgical Procedures;Outcome;Pancreas;Pathogenesis;Pathway interactions;Patients;Play;Primary Neoplasm;Proteins;RNA;Recording of previous events;Research;Role;Site;Small Intestines;Somatic Mutation;Specialized Program of Research Excellence;Survival Rate;Susceptibility Gene;Symptoms;Testing;Therapeutic;Translating;Work;base;effective therapy;exome;exome sequencing;gastroenteropancreatic neuroendocrine tumor;improved;innovation;insight;new therapeutic target;novel;novel diagnostics;novel therapeutic intervention;overexpression;protein expression;receptor;research clinical testing;targeted treatment;transcriptome;treatment site;treatment strategy;tumor","Project 3: A Genomic Approach to Improved Diagnosis and Treatment of Neuroendocrine Tumors","Understanding the gene expression and mutational profiles of NETs represents an ideal opportunity for developing new diagnostic imaging and therapeutic modalities for these tumors. The proposed studies will result in several promising new therapeutic strategies in patients with NETs: 1) determining gene expression profiles to distinguish the site of origin of unknown primaries; 2) identifying new targets for ligands to be utilized in Project 1; and 3) uncovering additional genes and pathways important in the progression of primary tumors and their metastases.","NCI","10487604","9/17/2021","PAR-14-031","3P50CA174521-05S3","3","P50","CA","174521","05","S3","NOTHWEHR, STEVEN F","9/1/2015","8/31/2022","ZCA1-RPRB-C","5338","1953893","HOWE, JAMES R","Not Applicable","01","Unavailable","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","Domestic Higher Education","522421320","UNITED STATES","N","9/1/2019","8/31/2021"," "," ","Research Centers","2021"," ","85583"," ","58333","27250"," "," ",
"Biotechnology; Cancer; Digestive Diseases; Genetics; Health Disparities; Minority Health; Orphan Drug; Pancreatic Cancer; Precision Medicine; Rare Diseases","Neuroendocrine tumors (NETs) are indolent malignancies that are increasing in incidence display profound resistance to conventional therapies and are a growing clinical challenge. Mechanisms underlying NET development are only partly understood and diagnostic / prognostic biomarkers of the disease are lacking. While progress in managing pancreatic NETs (PNETs) over the past several decades has been slow new targeted therapies such as mTOR inhibitors have emerged as we've learned more about molecular mechanisms of PNET pathogenesis. Mounting evidence suggests that greater benefits (improved efficacy and reduced resistance) will be obtained by targeting multiple steps of the PI3K/Akt/mTOR pathway. Better understanding of PI3K/Akt/mTOR regulation and identification of PNET biomarkers that risk stratify patients into subgroups of those who will (or will not) respond to particular therapies will improve patient treatment. This project was developed with those goals in mind. Aim 1 builds upon our discovery that RABL6A (a novel oncoprotein) is essential for PNET cell survival and proliferation Akt/mTOR activity and control of other clinically relevant PNET pathways such as Rb1. Aim 2 which is based on pilot studies that identified several chromosomal alterations capable of discriminating pancreatic from ileal NETs (including RABL6A amplification on chr 9q) seeks to define new DNA and protein biomarkers that distinguish four different types of NETs (pancreatic ileal bronchial and cervical). The integration of findings from Aims 1 and 2 will establish novel relationships between the status of drug-targetable PNET pathways (RABL6A-Akt/mTOR RABL6A-Rb1) with genetic alterations that discriminate NET type and prognosis thus advancing clinical management of this disease. Aim 1. Define clinically relevant therapeutic targets that control PNET proliferation and survival. Aim 2. Identify genetic and proteomic biomarkers that discriminate NET type and prognosis. This research will identify molecular alterations that are common or unique to various types of NETs as well as primary versus metastatic tumors. Pilot studies have already identified RABL6A and other specific genetic alterations as strong candidate PNET biomarkers and proposed pre-clinical studies will determine the efficacy of unique drug combinations that target RABL6A effector pathways for reducing PNET burden. The most immediate clinical outcome of this translational project will be the development of fast and inexpensive genetic (FISH-based) and proteomic (IHC-based) tests for differentiating various types of NETs in patients. This should markedly improve NET diagnosis classification prognosis and treatment.","Automobile Driving;Biological Assay;Biological Markers;Cell Proliferation;Cell Survival;Cervical;Chemoresistance;Chromosome abnormality;Classification;Clinic;Clinical;Clinical Management;Clinical Trials;Combination Drug Therapy;DNA;Data;Detection;Development;Diagnosis;Diagnostic;Disease;Disease Management;Drug Combinations;Drug Targeting;Excision;FRAP1 gene;Fluorescent in Situ Hybridization;Freezing;Future;Gene Expression Profiling;Genetic;Goals;Human;Image;Immunohistochemistry;Incidence;Indolent;Islet Cell Tumor;Link;Location;Longevity;Malignant Neoplasms;Measures;Medical;Metastatic Neoplasm to the Liver;Microarray Analysis;Mind;Molecular;Mutation;Neoplasm Metastasis;Neuroendocrine Tumors;Normal tissue morphology;Oncogenic;Oncoproteins;Operative Surgical Procedures;Outcome;Pancreas;Pathogenesis;Pathway interactions;Patients;Pharmacology Study;Pilot Projects;Primary Neoplasm;Prognosis;Prognostic Marker;Proteins;Proteomics;Proto-Oncogene Proteins c-akt;Regulation;Research;Resistance;Retinoblastoma Protein;SDZ RAD;Sampling;Signal Pathway;Signal Transduction;Specialized Program of Research Excellence;Specimen;Study models;Subgroup;Testing;Tissue Microarray;Tissues;Training;Treatment Protocols;Tumor Biology;Tumor Burden;Tumor Markers;Tumor Suppressor Proteins;Work;base;clinically relevant;cohort;conventional therapy;diagnostic biomarker;effective therapy;genetic signature;genetic testing;improved;inhibitor/antagonist;insight;mouse model;neoplastic cell;neuroendocrine differentiation;new therapeutic target;novel;novel diagnostics;novel drug combination;novel therapeutic intervention;novel therapeutics;patient stratification;pre-clinical;preclinical study;primary outcome;prognostic assays;protein biomarkers;risk stratification;targeted treatment;therapeutic biomarker;therapeutic target;tumor","Project 2: Molecular Mechanisms and Biomarkers of Neuroendocrine Tumors","The molecular pathogenesis of pancreatic neuroendocrine tumors (PNETs) is poorly understood and NET biomarkers are lacking. This project seeks to establish clinically meaningful diagnostic and therapeutic biomarkers of NETs by 1) defining essential factors and drug-targetable signaling pathways that are dysregulated in PNET cells and tumors and 2) identifying biomarkers (genetic and proteomic) that discriminate NET type and prognosis. A primary outcome of this project will be the development of novel diagnostic / prognostic assays for various types of NETs that can be used in the clinic to improve the diagnosis classification and treatment of this challenging disease.","NCI","10487603","9/17/2021","PAR-14-031","3P50CA174521-05S3","3","P50","CA","174521","05","S3","NOTHWEHR, STEVEN F","9/1/2015","8/31/2022","ZCA1-RPRB-C","5337","6830020","QUELLE, DAWN E","Not Applicable","01","Unavailable","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","Domestic Higher Education","522421320","UNITED STATES","N","9/1/2019","8/31/2021"," "," ","Research Centers","2021"," ","99779"," ","64583","35196"," "," ",
"Bioengineering; Biomedical Imaging; Biotechnology; Cancer; Clinical Research; Digestive Diseases; Health Disparities; Minority Health; Neurosciences; Orphan Drug; Pancreatic Cancer; Radiation Oncology; Rare Diseases","Neuroendocrine tumors (NETs) constitute an unrecognized health threat to children and adults. The incidence and prevalence of NETs is rising in the United States; yet there is very little research on NETs and no effective treatment for patients with metastatic disease over half of whom die within five years of diagnosis according to latest SEER data. These tumors do not respond to conventional chemotherapy or external beam radiation making development of new diagnostic and therapeutic options imperative. We hypothesize that theranostics use of a single compound as both a therapeutic and a diagnostic agent will meet this critical need for children and adults with NETs. The translational component of this proposal will identify new theranostic targets design and synthesize new targeting agents and test their efficacy in vivo. Lead compounds that meet strict criteria as high affinity PET tracers and molecularly targeted therapeutic agents in pre-clinical models of bronchial small bowel or pancreatic neuroendocrine tumors will be brought forward to  first in human PET imaging trials through an Exploratory IND mechanisms. Specific aims are: 1. Design and synthesize unique high-affinity stable ligands for use in GPCR targeted theranostics. Expression data from Project 3 has identified three GPCR (OXTR VPAC1 MC1R) as new targets in NETs. Theranostic radiopharmaceuticals will be designed and synthesized using NMR and 3-D modeling to guide chemical modifications that enhance affinity specificity and stability of candidate ligands. Peptide libraries incorporating D- and unnatural amino acids cyclization strategies and lysine substitutions for DOTA conjugation will be synthesized; binding affinity specificity and stability will be determined in vitro. 2. Characterize in vivo specificity stability pharmacokinetics and cytotoxicity of new GPCR targeted theranostic compounds in mouse models of neuroendocrine tumors. We will conduct theranostic pre- clinical in vitro and in vivo testing of lead GPCR targeted ligands in mouse models of NETs with the goal of having at least two analogs ready to test as PET tracers in humans by year 5. 3. Examine safety and efficacy of new GPCR targeted PET tracers in humans using exploratory IND. Agents that pass rigorous pre-clinical testing will then be synthesized under GMP conditions. An exploratory IND will be obtained to examine the ability of lead candidates to localize to neuroendocrine tumors in first in human trials. Successful tracers that meet the strict theranostic criteria and demonstrate safety specificity and reproducibility as a PET tracer in patients with NETs will be further developed through a full IND. Successful completion of these pre-clinical theranostic trials and first in human molecularly targeted PET imaging trials will pave the way for development of new radiotherapeutics with the ultimate goal of providing dual-target dual-radionuclide therapy for patients with neuroendocrine tumors.","90Y;Adult;Affinity;Animals;Binding;Biodistribution;Biological Specimen Banks;Biopsy Specimen;Chemicals;Child;Clinical Trials;Collaborations;Combined Modality Therapy;Cyclization;Data;Development;Diagnosis;Diagnostic;Disease;Disease Progression;Drug Kinetics;External Beam Radiation Therapy;G-Protein-Coupled Receptors;Gastric Inhibitory Polypeptide;Goals;Health;Human;In Vitro;Incidence;Islet Cell Tumor;Isotopes;Lead;Ligands;Lysine;Malignant Neoplasms;Melanocortin 1 Receptor;Modeling;Modification;Molecular Target;Neuroendocrine Tumors;Octreotide;Operative Surgical Procedures;Orphan;Oxytocin;Oxytocin Receptor;Pancreas;Patients;Pattern;Peptide Library;Peptide Receptor;Peptides;Pharmaceutical Preparations;Positron-Emission Tomography;Pre-Clinical Model;Preclinical Testing;Prevalence;Process;Publications;Radiation therapy;Radiolabeled;Radionuclide therapy;Radiopharmaceuticals;Reproducibility;Research;Residual state;Resistance;SDZ RAD;SSTR2 gene;Safety;Serum;Small Intestines;Specialized Program of Research Excellence;Specificity;Techniques;Testing;Therapeutic;Time;Tissue Banks;Tissue Microarray;Tracer;United States;VIPR1 gene;Vasoactive Intestinal Peptide;alpha-Melanocyte stimulating hormone;analog;candidate marker;chemotherapy;curative treatments;cytotoxicity;design;effective therapy;first-in-human;high throughput screening;human imaging;improved;in vivo;in vivo evaluation;innovation;interest;lead candidate;molecular targeted therapies;mouse model;novel diagnostics;novel therapeutics;patient registry;pre-clinical;preclinical toxicity;receptor;receptor expression;somatostatin receptor 2;targeted agent;targeted treatment;theranostics;therapeutic target;three-dimensional modeling;tumor;tumor xenograft;unnatural amino acids","Project 1: Theranostics in Neuroendocrine Tumors","We have identified oxytocin vasoactive intestinal peptide melanocortin and glucose-dependent insulinotropic peptide receptors as prime new targets in small bowel and pancreatic neuroendocrine tumors. We will develop PET tracers for each receptor and examine their affinity and specificity for the GPCR of interest as well as their stability and targeted cytotoxicity in pre-clinical models of bronchial small bowel and pancreatic NETs. An exploratory IND will be obtained to conduct first in human PET imaging with candidate tracers. Successful completion of these pre-clinical and first in human imaging trials will pave the way for development of new radiotherapeutics with the ultimate goal of providing dual-target dual-therapy options for patients with neuroendocrine tumors.","NCI","10487602","9/17/2021","PAR-14-031","3P50CA174521-05S3","3","P50","CA","174521","05","S3","NOTHWEHR, STEVEN F","9/1/2015","8/31/2022","ZCA1-RPRB-C","5336","8184480","MENDA, YUSUF ","Not Applicable","01","Unavailable","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","Domestic Higher Education","522421320","UNITED STATES","N","9/1/2019","8/31/2021"," "," ","Research Centers","2021"," ","96189"," ","66668","29521"," "," ",
"Cancer; Health Disparities; Minority Health; Prevention","The overall goal of the Administrative Shared Resource for the Iowa Neuroendocrine Tumor SPORE (INET SPORE) is to stimulate multi-disciplinary research in neuroendocrine tumors (NETs) and to translate these observations and discoveries into personalized medicine for early detection of curative treatments for and ultimately the prevention of neuroendocrine tumors in adults and children. The Administration Core is designed to serve as the organizational hub for the benefit of investigators core directors career and developmental project awardees and external investigators who seek to further our overall goals. The Administrative Core will therefore provide an organizational structure designed to coordinate the activities of the research projects scientific cores and developmental programs (Developmental Research Program Career Development Program) and will be responsible for coordinating the function of the SPORE committees including the Executive Committee the Internal Advisory Committee and the External Advisory Committee. M Sue O'Dorisio MD PhD will serve as Director of the Administration Core with James Howe MD as Co- Director. These senior investigators will now extend their collaborations to provide leadership and oversight of SPORE activities in the following ways: 1) provide leadership organizational support and financial management to SPORE core directors and to  investigators for both major and developmental projects; 2) work with the Executive Committee to provide continual scientific review to select and support the most  promising full projects and developmental projects in accordance with SPORE guidelines; 3) foster career development for investigators dedicated to basic and clinical research in neuroendocrine tumors; 4) provide oversight of SPORE Cores to ensure continual quality improvement in services for investigators; 5) coordinate monthly investigator meetings quarterly progress reviews by the internal review committee  and a yearly review by the External review committee; 6) work with investigators and patient advocates to build new internal and external collaborations that will  expand access to comprehensive state-of-the-art care for patients with neuroendocrine tumors; 7) disseminate new information from SPORE investigations to professionals and patient organizations  who care for patients with neuroendocrine tumors as well as to the scientific community and the public; 8) maintain timely communications with the National Cancer Institute. 9) Continually improve the overall Program Organization and Capabilities through excellent  communication and collaboration with the Holden Comprehensive Cancer Center (HCCC) the Iowa  Institute for Clinical & Translational Sciences (ICTS) and the Colleges of Medicine Engineering and  Public Health","Adult;Advisory Committees;Advocate;American;Basic Science;Child;Clinical;Clinical Investigator;Clinical Research;Clinical Sciences;Collaborations;Communication;Communities;Comprehensive Cancer Center;Core Facility;Dedications;Development;Diagnostic;Doctor of Philosophy;Early Diagnosis;Engineering;Ensure;Fostering;Goals;Grant;Group Meetings;Guidelines;Human;Information Dissemination;Institutes;Interdisciplinary Study;Investigation;Iowa;Laboratories;Leadership;Malignant Neoplasms;Medicine;Mentors;National Cancer Institute;Neuroendocrine Tumors;Occupational activity of managing finances;Patient Care;Patients;Prevention;Principal Investigator;Program Development;Public Health;Public Health Administration;Records;Research;Research Activity;Research Personnel;Research Project Grants;Research Support;Resource Sharing;Resources;Review Committee;Science;Scientist;Services;Societies;Specialized Program of Research Excellence;Support Groups;Therapeutic;Time;Training;Translating;Translational Research;Universities;Work;Writing;career;career development;collaborative environment;college;curative treatments;design;experience;improved;innovation;meetings;member;novel diagnostics;novel therapeutics;organizational structure;patient population;personalized medicine;programs;rare cancer;symposium","Core A: Administration","The Administration Core provides leadership and research support for all Iowa Neuroendocrine Tumor SPORE activities and assures there is excellent communication between all participating Project investigators and staff of each of the four Cores. The Administrative Core optimizes the access of investigators to additional resources within the University of Iowa and externally. The Administration Core also assures that patient advocates participate in conferences and annual retreats and are included in all key decisions. This Administrative Core is a necessary component for a successful SPORE.","NCI","10487601","9/17/2021","PAR-14-031","3P50CA174521-05S3","3","P50","CA","174521","05","S3","NOTHWEHR, STEVEN F","9/1/2015","8/31/2022","ZCA1-RPRB-C","5335","1901907","O'DORISIO, M. SUE ","Not Applicable","01","Unavailable","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","Domestic Higher Education","522421320","UNITED STATES","N","9/1/2019","8/31/2020"," "," ","Research Centers","2021"," ","54936"," ","35557","19379"," "," ",
